time,eui-e8e1e1000104c51b
2023-06-23 17:00:00,45.0
2023-06-23 19:00:00,41.6
2023-06-23 19:30:00,40.4
2023-06-24 09:30:00,39.0
2023-06-24 11:00:00,44.0
2023-06-24 12:30:00,85.2
2023-06-24 14:30:00,39.0
2023-06-24 17:30:00,100.0
2023-06-24 19:00:00,39.0
2023-06-25 15:00:00,39.0
2023-06-25 17:00:00,39.0
2023-06-26 10:30:00,76.7
2023-06-26 13:30:00,76.0
2023-06-26 14:00:00,88.4
2023-06-26 14:30:00,84.6
2023-06-26 15:00:00,84.2
2023-06-26 15:30:00,43.5
2023-06-26 16:30:00,41.7
2023-06-26 17:00:00,42.8
2023-06-26 17:30:00,77.2
2023-06-27 09:30:00,40.0
2023-06-27 13:30:00,45.6
2023-06-27 14:00:00,85.6
2023-06-27 14:30:00,84.0
2023-06-27 16:00:00,40.2
2023-06-27 16:30:00,95.0
2023-06-27 19:00:00,84.0
2023-06-28 09:30:00,83.6
2023-06-28 11:30:00,39.0
2023-06-28 12:30:00,77.5
2023-06-28 14:30:00,93.8
2023-06-28 15:30:00,83.2
2023-06-28 16:30:00,76.3
2023-06-28 19:00:00,84.2
2023-06-29 09:00:00,83.0
2023-06-29 19:30:00,39.0
2023-06-29 20:00:00,39.0
2023-06-30 09:30:00,75.8
2023-06-30 10:30:00,94.0
2023-06-30 13:00:00,39.0
2023-06-30 13:30:00,40.7
2023-06-30 16:30:00,39.0
2023-06-30 17:30:00,76.0
2023-06-30 18:30:00,39.0
2023-06-30 19:30:00,39.0
2023-07-01 09:30:00,39.0
2023-07-01 10:00:00,39.0
2023-07-01 12:30:00,39.0
2023-07-01 19:00:00,39.0
2023-07-02 09:00:00,39.0
2023-07-02 12:00:00,39.0
2023-07-02 12:30:00,39.0
2023-07-02 13:00:00,39.0
2023-07-02 13:30:00,39.0
2023-07-02 15:00:00,39.0
2023-07-02 16:30:00,39.0
2023-07-02 17:30:00,39.0
2023-07-02 18:30:00,39.0
