time,eui-e8e1e1000104c51e
2023-06-25 18:30:00,48.4
2023-06-25 19:00:00,49.0
2023-06-25 19:30:00,50.8
2023-06-25 20:00:00,49.0
2023-06-26 09:00:00,51.7
2023-06-26 09:30:00,49.8
2023-06-26 10:00:00,51.0
2023-06-26 10:30:00,50.8
2023-06-26 11:00:00,50.8
2023-06-26 11:30:00,50.6
2023-06-26 12:00:00,50.2
2023-06-26 12:30:00,51.8
2023-06-26 13:00:00,50.8
2023-06-26 13:30:00,50.8
2023-06-26 14:00:00,49.8
2023-06-26 14:30:00,51.8
2023-06-26 15:00:00,52.0
2023-06-26 15:30:00,51.4
2023-06-26 16:00:00,51.3
2023-06-26 16:30:00,55.2
2023-06-26 17:00:00,50.0
2023-06-26 17:30:00,49.8
2023-06-26 18:00:00,50.4
2023-06-26 18:30:00,51.2
2023-06-26 19:00:00,42.3
2023-06-26 19:30:00,50.5
2023-06-26 20:00:00,51.0
2023-06-27 09:00:00,52.7
2023-06-27 09:30:00,53.5
2023-06-27 10:00:00,50.0
2023-06-27 10:30:00,51.0
2023-06-27 11:00:00,51.5
2023-06-27 11:30:00,44.4
2023-06-27 12:00:00,51.2
2023-06-27 12:30:00,50.7
2023-06-27 13:00:00,50.3
2023-06-27 13:30:00,50.3
2023-06-27 14:00:00,49.7
2023-06-27 14:30:00,53.5
2023-06-27 15:00:00,52.3
2023-06-27 15:30:00,51.0
2023-06-27 16:00:00,54.0
2023-06-27 16:30:00,50.7
2023-06-27 17:00:00,50.4
2023-06-27 17:30:00,49.4
2023-06-27 18:00:00,51.2
2023-06-27 18:30:00,50.8
2023-06-27 19:00:00,49.7
2023-06-27 19:30:00,51.7
2023-06-27 20:00:00,50.3
2023-06-28 09:00:00,52.2
2023-06-28 09:30:00,50.8
2023-06-28 10:00:00,51.3
2023-06-28 10:30:00,52.2
2023-06-28 11:00:00,53.0
2023-06-28 11:30:00,50.6
2023-06-28 12:00:00,50.8
2023-06-28 12:30:00,51.0
2023-06-28 13:00:00,53.0
2023-06-28 13:30:00,51.2
2023-06-28 14:00:00,49.8
2023-06-28 14:30:00,50.0
2023-06-28 15:00:00,51.0
2023-06-28 15:30:00,50.3
2023-06-28 16:00:00,53.3
2023-06-28 16:30:00,50.8
2023-06-28 17:00:00,50.3
2023-06-28 17:30:00,50.5
