time,eui-e8e1e1000104c5ca
06/06/2023 17:30,39
06/06/2023 18:00,39
06/06/2023 18:30,39
06/06/2023 19:00,39
06/06/2023 19:30,39
06/06/2023 20:00,39
07/06/2023 09:00,39
07/06/2023 10:00,39
07/06/2023 10:30,39
07/06/2023 11:00,39
07/06/2023 12:00,39
07/06/2023 12:30,39
07/06/2023 13:00,39
07/06/2023 13:30,39
07/06/2023 14:00,39
07/06/2023 14:30,39
07/06/2023 15:00,39
07/06/2023 15:30,39
07/06/2023 16:00,39
07/06/2023 16:30,39
07/06/2023 17:00,39
07/06/2023 17:30,39
07/06/2023 18:00,39
07/06/2023 18:30,39
07/06/2023 19:30,39
07/06/2023 20:00,39
08/06/2023 09:00,39
08/06/2023 09:30,39
08/06/2023 10:00,39
08/06/2023 10:30,39
08/06/2023 11:00,39
08/06/2023 11:30,39
08/06/2023 12:30,39
08/06/2023 13:00,39
08/06/2023 13:30,39
08/06/2023 14:00,39
08/06/2023 14:30,39
08/06/2023 15:00,39
08/06/2023 15:30,39
08/06/2023 16:00,39
08/06/2023 16:30,39
08/06/2023 17:30,39
08/06/2023 18:00,39
08/06/2023 19:00,39
08/06/2023 19:30,39
08/06/2023 20:00,39
09/06/2023 09:00,39
09/06/2023 10:00,39
09/06/2023 10:30,39
09/06/2023 11:00,39
09/06/2023 11:30,39
09/06/2023 12:00,39
09/06/2023 12:30,39
09/06/2023 13:00,39
09/06/2023 13:30,39
09/06/2023 14:00,39
09/06/2023 14:30,39
09/06/2023 15:30,39
09/06/2023 16:30,39
09/06/2023 17:00,39
09/06/2023 17:30,39
10/06/2023 09:00,39
10/06/2023 09:30,39
10/06/2023 10:00,39
10/06/2023 10:30,39
10/06/2023 11:00,39
10/06/2023 11:30,39
10/06/2023 12:00,39
10/06/2023 12:30,39
10/06/2023 13:00,39
10/06/2023 13:30,39
10/06/2023 14:00,39
10/06/2023 14:30,39
10/06/2023 15:00,39
10/06/2023 15:30,39
10/06/2023 16:00,39
10/06/2023 16:30,39
10/06/2023 17:00,39
10/06/2023 17:30,39
10/06/2023 18:00,39
10/06/2023 18:30,39
10/06/2023 19:30,39
10/06/2023 20:00,39
11/06/2023 09:00,39
11/06/2023 09:30,39
11/06/2023 10:00,39
11/06/2023 10:30,39
11/06/2023 11:00,39
11/06/2023 12:00,39
11/06/2023 12:30,39
11/06/2023 13:00,39
11/06/2023 13:30,39
11/06/2023 14:00,39
11/06/2023 14:30,39
11/06/2023 15:00,39
11/06/2023 15:30,39
11/06/2023 16:00,39
11/06/2023 16:30,39
11/06/2023 17:00,39
11/06/2023 17:30,39
11/06/2023 18:00,39
11/06/2023 18:30,39
11/06/2023 19:00,39
11/06/2023 19:30,39
11/06/2023 20:00,39
12/06/2023 09:00,39
12/06/2023 10:00,39
12/06/2023 10:30,39
12/06/2023 11:30,39
12/06/2023 12:00,39
12/06/2023 13:00,39
12/06/2023 13:30,39
12/06/2023 14:30,39
12/06/2023 15:00,39
12/06/2023 15:30,39
12/06/2023 16:30,39
12/06/2023 17:30,39
12/06/2023 18:00,39
12/06/2023 19:30,39
12/06/2023 20:00,39
13/06/2023 09:00,39
13/06/2023 10:30,39
13/06/2023 19:30,39
13/06/2023 20:00,39
14/06/2023 09:00,39
14/06/2023 09:30,39
14/06/2023 10:00,39
14/06/2023 11:00,39
14/06/2023 12:00,39
14/06/2023 12:30,39
14/06/2023 13:00,39
14/06/2023 14:30,39
14/06/2023 15:00,39
14/06/2023 16:00,39
14/06/2023 17:00,39
14/06/2023 18:30,39
14/06/2023 19:00,39
14/06/2023 19:30,39
14/06/2023 20:00,39
15/06/2023 09:00,39
15/06/2023 09:30,39
15/06/2023 10:00,39
15/06/2023 10:30,39
15/06/2023 12:00,39
15/06/2023 14:30,39
15/06/2023 16:00,39
15/06/2023 17:00,39
15/06/2023 17:30,39
15/06/2023 18:00,39
15/06/2023 19:00,39
15/06/2023 19:30,39
15/06/2023 20:00,39
16/06/2023 09:00,39
16/06/2023 09:30,39
16/06/2023 10:30,39
16/06/2023 11:00,39
16/06/2023 11:30,39
16/06/2023 12:00,39
16/06/2023 12:30,39
16/06/2023 13:00,39
16/06/2023 13:30,39
16/06/2023 14:00,39
16/06/2023 15:00,39
16/06/2023 15:30,39
16/06/2023 16:00,39
16/06/2023 16:30,39
16/06/2023 17:00,39
16/06/2023 17:30,39
16/06/2023 18:00,39
16/06/2023 18:30,39
16/06/2023 19:00,39
16/06/2023 19:30,39
17/06/2023 09:00,39
17/06/2023 09:30,39
17/06/2023 10:00,39
17/06/2023 10:30,39
17/06/2023 11:00,39
17/06/2023 11:30,39
17/06/2023 12:00,39
17/06/2023 12:30,39
17/06/2023 13:00,39
17/06/2023 13:30,39
17/06/2023 14:00,39
17/06/2023 14:30,39
17/06/2023 15:00,39
17/06/2023 15:30,39
17/06/2023 16:00,39
17/06/2023 16:30,39
17/06/2023 17:00,39
