time,eui-e8e1e1000104c51e
13/06/2023 17:00,48.8
13/06/2023 17:30,49.5
13/06/2023 18:00,48.7
13/06/2023 18:30,49.3
13/06/2023 19:00,47.8
13/06/2023 19:30,49.2
13/06/2023 20:00,51.4
14/06/2023 09:00,51.3
14/06/2023 09:30,51.2
14/06/2023 10:00,52.2
14/06/2023 10:30,51.5
14/06/2023 11:00,50.0
14/06/2023 11:30,51.4
14/06/2023 12:00,53.0
14/06/2023 12:30,52.0
14/06/2023 13:00,51.3
14/06/2023 13:30,50.0
14/06/2023 14:00,50.8
14/06/2023 14:30,52.0
14/06/2023 15:00,50.8
14/06/2023 15:30,50.3
14/06/2023 16:00,49.8
14/06/2023 16:30,48.6
14/06/2023 17:00,50.2
14/06/2023 17:30,50.6
14/06/2023 18:00,53.8
14/06/2023 18:30,51.2
14/06/2023 19:00,50.2
14/06/2023 19:30,51.6
14/06/2023 20:00,50.0
15/06/2023 09:00,51.2
15/06/2023 09:30,49.7
15/06/2023 10:00,51.2
15/06/2023 10:30,53.0
15/06/2023 11:00,47.5
15/06/2023 11:30,52.3
15/06/2023 12:00,50.8
15/06/2023 12:30,49.2
15/06/2023 13:00,49.4
15/06/2023 13:30,48.3
15/06/2023 14:00,50.3
15/06/2023 14:30,48.2
15/06/2023 15:00,50.7
15/06/2023 15:30,50.0
15/06/2023 16:00,43.1
15/06/2023 16:30,49.5
15/06/2023 17:00,49.0
15/06/2023 17:30,48.3
15/06/2023 18:00,49.5
15/06/2023 18:30,49.7
15/06/2023 19:00,51.4
15/06/2023 19:30,50.5
15/06/2023 20:00,50.0
16/06/2023 09:00,51.5
16/06/2023 09:30,51.7
16/06/2023 10:00,50.2
16/06/2023 10:30,52.2
16/06/2023 11:00,48.2
16/06/2023 11:30,52.3
16/06/2023 12:00,51.2
16/06/2023 12:30,50.8
16/06/2023 13:00,50.6
16/06/2023 13:30,50.0
16/06/2023 14:00,51.7
16/06/2023 14:30,48.5
16/06/2023 15:00,47.3
16/06/2023 15:30,48.0
16/06/2023 16:00,47.8
16/06/2023 16:30,49.0
16/06/2023 17:00,49.8
16/06/2023 17:30,50.2
16/06/2023 18:00,48.5
16/06/2023 18:30,50.0
16/06/2023 19:00,48.5
16/06/2023 19:30,50.8
16/06/2023 20:00,50.8
17/06/2023 09:00,50.7
17/06/2023 09:30,50.2
17/06/2023 10:00,50.5
17/06/2023 10:30,51.2
17/06/2023 11:00,52.7
17/06/2023 11:30,50.7
17/06/2023 12:00,50.5
17/06/2023 12:30,50.7
17/06/2023 13:00,50.0
17/06/2023 13:30,50.4
17/06/2023 14:00,50.0
17/06/2023 14:30,49.5
17/06/2023 15:00,49.8
17/06/2023 15:30,48.2
17/06/2023 16:00,50.0
17/06/2023 16:30,50.2
17/06/2023 17:00,50.2
17/06/2023 17:30,50.8
17/06/2023 18:00,43.1
17/06/2023 18:30,51.2
17/06/2023 19:00,48.8
17/06/2023 19:30,49.3
17/06/2023 20:00,50.0
18/06/2023 09:00,50.2
18/06/2023 09:30,49.3
18/06/2023 10:00,49.7
18/06/2023 10:30,42.9
18/06/2023 11:00,50.8
18/06/2023 11:30,50.4
18/06/2023 12:00,50.8
18/06/2023 12:30,50.3
18/06/2023 13:00,49.7
18/06/2023 13:30,50.2
18/06/2023 14:00,49.6
18/06/2023 14:30,49.6
18/06/2023 15:00,50.3
18/06/2023 15:30,50.3
18/06/2023 16:00,48.0
18/06/2023 16:30,49.3
18/06/2023 17:00,49.8
18/06/2023 17:30,49.6
18/06/2023 18:00,50.5
18/06/2023 18:30,50.2
18/06/2023 19:00,50.8
18/06/2023 19:30,50.5
18/06/2023 20:00,51.5
19/06/2023 09:00,52.0
19/06/2023 09:30,50.7
19/06/2023 10:00,50.7
19/06/2023 10:30,50.3
19/06/2023 11:00,51.0
19/06/2023 11:30,50.3
19/06/2023 12:00,50.4
19/06/2023 12:30,52.2
19/06/2023 13:00,50.8
19/06/2023 13:30,49.6
19/06/2023 14:00,51.3
19/06/2023 14:30,52.4
19/06/2023 15:00,53.0
19/06/2023 15:30,54.7
19/06/2023 16:00,51.0
19/06/2023 16:30,49.2
19/06/2023 17:00,49.5
19/06/2023 17:30,51.5
19/06/2023 18:00,50.2
19/06/2023 18:30,52.8
19/06/2023 19:00,53.2
19/06/2023 19:30,50.5
19/06/2023 20:00,42.5
20/06/2023 09:00,50.7
20/06/2023 09:30,51.3
20/06/2023 10:00,50.8
20/06/2023 10:30,49.7
20/06/2023 11:00,51.2
20/06/2023 11:30,51.2
20/06/2023 12:00,50.7
20/06/2023 12:30,50.2
20/06/2023 13:00,43.4
20/06/2023 13:30,51.7
20/06/2023 14:00,48.5
20/06/2023 14:30,50.8
20/06/2023 15:00,51.0
20/06/2023 15:30,51.0
20/06/2023 16:00,51.2
20/06/2023 16:30,50.2
20/06/2023 17:00,50.5
20/06/2023 17:30,49.8
20/06/2023 18:00,50.8
20/06/2023 18:30,51.3
20/06/2023 19:00,50.5
20/06/2023 19:30,50.0
20/06/2023 20:00,49.5
21/06/2023 09:00,50.2
21/06/2023 09:30,50.7
21/06/2023 10:00,51.2
21/06/2023 10:30,51.6
21/06/2023 11:00,51.7
21/06/2023 11:30,51.0
21/06/2023 12:00,50.3
21/06/2023 12:30,51.5
21/06/2023 13:00,48.0
21/06/2023 13:30,51.0
21/06/2023 14:00,51.2
21/06/2023 14:30,50.2
21/06/2023 15:00,51.6
21/06/2023 15:30,53.2
21/06/2023 16:00,51.7
21/06/2023 16:30,49.2
21/06/2023 17:00,51.4
21/06/2023 17:30,50.8
21/06/2023 18:00,48.8
21/06/2023 18:30,51.3
21/06/2023 19:00,50.3
21/06/2023 19:30,49.8
